name,lat,long,img,distance,url,props,eparhia,mitropolia,boss,type,founded
Свято-Зосимо-Савватиевский Велико-Кракотский мужской монастырь Новогрудской епархии,53.021588716646,24.96893364418,/upload/iblock/bab/bab3348b6afd594cbb403fad38d86892/0.JPG,873,/monastyri/monastery/svyato-zosimo-savvatievskiy-veliko-krakotskiy-muzhskoy-monastyr-novogrudskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Белорусской Православной Церкви', 'founded': '2009'}",,,,,
Иверский Богородицкий монастырь села Шерауты,55.134209710767,47.357764475544,/upload/iblock/20f/20f4a4724694245e2a7ef19d2d7a412d/FQzOLZ81DUw.jpg,618,/monastyri/monastery/iverskiy-bogoroditskiy-monastyr-sela-sherauty/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1903'}",,,,,
Иверский женский монастырь г. Уфы,5446564384,5675547,/upload/iblock/be7/be7a5d5ee319a3a95ecf2229faf4c53b/cd7fb023a92b9f559510e405d23fdecb.JPG,9186,/monastyri/monastery/iverskiy-zhenskiy-monastyr-g-ufy/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': ''}",,,,,
Иверский женский монастырь г. Самары,53.200505628928,50.099871728836,/upload/iblock/b9b/b9b04ad749acc0a2f5b464141d898871/111.jpg,854,/monastyri/monastery/iverskiy-zhenskiy-monastyr-g-samary/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1850'}",,,,,
Иверский женский монастырь Донецкой епархии ,48.065470866007,37.732378517197,/upload/iblock/ffb/8pzyjxesgcdttjarfy4z5gwxdxvo1u1l/00.jpg,856,/monastyri/monastery/iverskiy-zhenskiy-monastyr-donetskoy-eparkhii-/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '2001'}",,,,,
Свято-Иверский женский монастырь Ровенской епархии,50.183632,25.773596,/upload/iblock/9ad/zovebetxe8bmgv2bzxwbhy85zszkua54/00-_1_.jpg,1005,/monastyri/monastery/svyato-iverskiy-zhenskiy-monastyr-rovenskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '2010'}",,,,,
Иверский монастырь г. Енисейск,58.45368344691,92.188331866905,/upload/iblock/b45/b4535ceb89fa47aae0027d588810e255/4.JPG,3218,/monastyri/monastery/iverskiy-monastyr-g-eniseysk/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1623'}",,,,,
Иверский мужской монастырь г. Ленинск-Кузнецкий,54.654165817556,86.195687,/upload/iblock/e9c/e9c3db53d09ddd2e3ad7a6fb6503a3a9/2.jpg,3022,/monastyri/monastery/iverskiy-muzhskoy-monastyr-g-leninsk-kuznetskiy/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': ''}",,,,,
Свято-Иверский мужской монастырь Одесской епархии,46.41035287887,30.699575001818,/upload/iblock/646/6yjyjj1sxqq8hcxo05kh46vraoewfsgu/00-_1_.jpg,1145,/monastyri/monastery/svyato-iverskiy-muzhskoy-monastyr-odesskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '1998'}",,,,,
Иверско-Петропавловский женский монастырь,53.213780265546,63.874319705522,/upload/iblock/8d4/t7gbcctr1l5mm5ny7pxwwx2ydr3iy8p7/004_2_2.jpg,1709,/monastyri/monastery/iversko-petropavlovskiy-zhenskiy-monastyr/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Митрополичьего округа Русской Православной Церкви в республике Казахстан', 'founded': '1894'}",,,,,
"Иверско-Серафимовский женский монастырь г. Алма-Ата, Астанайской и Алма-Атинской епархии ",43.26934591503,76.959654273155,/upload/iblock/108/1.jpg,3107,/monastyri/monastery/iversko-serafimovskiy-zhenskiy-monastyr-g-alma-ata-astanayskoy-i-alma-atinskoy-eparkhii-/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Митрополичьего округа Русской Православной Церкви в республике Казахстан', 'founded': '1908'}",,,,,
Иконы Божией Матери «Живоносный источник» женский монастырь Хмельницкой епархии,49.458642052714,26.35131722666,/upload/iblock/078/ozf0wqb5t79e5h0e06z20ynva2xd3dgt/3.jpg,1032,/monastyri/monastery/ikony-bozhiey-materi-zhivonosnyy-istochnik-zhenskiy-monastyr-khmelnitskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '2007'}",,,,,
Свято-Ильинский мужской монастырь Одесской епархии,46.470257004302,30.741389297022,/upload/iblock/a57/cmmbnxgna31ani2gs1f7dlbkcfr8iey0/00.jpg,1138,/monastyri/monastery/svyato-ilinskiy-muzhskoy-monastyr-odesskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '1884'}",,,,,
Ильинский мужской монастырь Северодонецкой епархии,49.072107326861,38.411280150759,/upload/iblock/d4c/skmxl5ap7mf7sgnnffxchv9xw74o0qvg/00.jpg,746,/monastyri/monastery/ilinskiy-muzhskoy-monastyr-severodonetskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '2005'}",,,,,
Свято-Ильинский мужской монастырь Хустской епархии,48.048422,23.766008,,1276,/monastyri/monastery/svyato-ilinskiy-muzhskoy-monastyr-khustskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '2002'}",,,,,
Ильинский Никоренский мужской монастырь Кишиневской епархии,47.956133215358,27.682116347217,/upload/iblock/f32/w87s147va9l3u4nla2mi32p5j4znocq0/nie.jpg,1102,/monastyri/monastery/ilinskiy-nikorenskiy-muzhskoy-monastyr-kishinevskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Православной Церкви Молдовы', 'founded': '1990'}",,,,,
